StartDate,Duration (in seconds),ResponseId,LocationLatitude,LocationLongitude,Q1,Q1_4_TEXT,Q1.5,Q1.5_6_TEXT,school_name,Q2_69_TEXT,Q3,Q3_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_5_TEXT,Q18_6_TEXT,Q19,Q19_7_TEXT,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31_1,Q31_2,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q39_TEXT,Q40_1,Q81_1,Q81_2,Q81_3,Q38.5,Q38.5_4_TEXT,Q38.5.5,Q38.5.5_4_TEXT,Q79,Q79_3_TEXT,Q41,Q42,Q43,Q80,Q44,Q45,Q82,Q82_13_TEXT,update_date
9/16/24 3:02,NA,NA,NA,NA,Other,NA,NA,NA,Amuyaokope,NA,"Routine Program Evaluation,Project Update Visit",NA,262,5,15,0,30,NA,83,30,NA,Not yet,Not yet,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-2 times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,Yes,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,26/07/2024,NA,Yes,Yes,NA,NA,2024-09-16
9/16/24 4:07,NA,NA,NA,NA,NA,NA,NA,NA,Luta,NA,"Routine Program Evaluation,Project Update Visit",NA,350,141,11,71,16,NA,19,16,NA,Not yet,Not yet,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,Yes,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,20/11/2023,NA,Yes,Yes,NA,NA,2024-09-16
9/16/24 5:48,NA,NA,NA,NA,NA,NA,NA,NA,Madavunu,NA,"Routine Program Evaluation,Project Update Visit",NA,500,206,11,47,16,NA,68,16,NA,Not yet,Not yet,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,No,NA,16,16,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"No, this school needs a toilet","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-09-16
9/16/24 6:30,NA,NA,NA,NA,NA,NA,NA,NA,Terhey,NA,"Routine Program Evaluation,Project Update Visit",NA,215,140,5,49,2,NA,24,2,NA,Not yet,Not yet,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,No,NA,12,12,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-09-16
9/17/24 3:19,NA,NA,NA,NA,"Isaac,Richard,Peace",NA,NA,NA,Azizakpem,NA,"Routine Program Evaluation,Project Update Visit",NA,NA,56,4,24,0,NA,0,0,NA,0,0,NA,NA,They don't have one,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","No, this school needs a borehole or other clean water solution","No, this school needs more classrooms or an upgrade to their current buildings",No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-09-17
9/17/24 4:18,NA,NA,NA,NA,"Isaac,Richard,Alex",NA,NA,NA,Alorkpem Island,NA,"Routine Program Evaluation,Project Update Visit",NA,1450,208,10,54,27,NA,67,23,NA,Not yet,Not yet,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,30,30,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,Yes,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,27/02/2024,NA,Yes,Yes,NA,NA,2024-09-17
9/17/24 7:13,NA,NA,NA,NA,"Isaac,Richard,Peace",NA,NA,NA,Pediatorkope,NA,"Routine Program Evaluation,Project Update Visit",NA,2800,364,14,101,32,NA,97,38,NA,Not yet,Not yet,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,Yes,"Stolen,Broken",0,30,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-09-17
9/18/24 3:53,NA,NA,NA,NA,"Isaac,Richard,Peace",NA,NA,NA,Minya,NA,"Routine Program Evaluation,Project Update Visit",NA,800,134,10,38,10,NA,31,10,NA,Not yet,Not yet,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,No,NA,12,12,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, EPI has helped them get access to clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-09-18
10/1/24 2:33,NA,NA,NA,NA,"Alex,Peace",NA,NA,NA,Yorogo-Asorogobisi,NA,"Routine Program Evaluation,Project Update Visit",NA,700,130,19,35,12,NA,38,21,NA,N/A,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"No, this school needs a toilet","Yes, EPI has helped them get access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,Yes,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,12/09/2024,NA,Yes,Yes,NA,NA,2024-10-01
10/1/24 4:34,NA,NA,NA,NA,"Alex, Richard, Peace",NA,NA,NA,Akyeremanteng,NA,"Routine Program Evaluation,Project Update Visit",NA,800,116,10,33,9,NA,25,14,NA,N/A,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,5,5,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"No, this school needs a toilet","No, this school needs a borehole or other clean water solution","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-10-01
10/1/24 6:11,NA,NA,NA,NA,"Richard, Alex",NA,NA,NA,Yonguase,NA,"Routine Program Evaluation,Project Update Visit",NA,1000,158,5,48,10,NA,33,7,NA,N/A,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,17,17,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, EPI has helped build some","No, this school needs a borehole or other clean water solution","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-10-01
10/2/24 3:28,NA,NA,NA,NA,"Richard, Peace",NA,NA,NA,Obelemanya,NA,"Routine Program Evaluation,Project Update Visit",NA,550,59,5,16,8,NA,24,3,NA,N/A,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,No,NA,6,6,Yes,NA,NA,NA,1-2 times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","No, this school needs a borehole or other clean water solution","Yes, they already had enough classrooms or another organization has provided them",No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-10-02
10/2/24 6:35,NA,NA,NA,NA,"Richard, Alex",NA,NA,NA,Tsledom,NA,"Routine Program Evaluation,Project Update Visit",NA,500,130,6,27,6,NA,20,0,NA,N/A,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,18,18,Yes,NA,NA,NA,1-2 times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"No, this school needs a toilet","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-10-02
10/7/24 4:18,NA,NA,NA,NA,"Richard, Alex",NA,NA,NA,Old Konkompe,NA,"Routine Program Evaluation,Project Update Visit",NA,2000,297,12,165,25,NA,65,12,NA,N/A,N/A,NA,NA,There is another part broken (please specify):,NA,NA,NA,NA,Yes,NA,No,NA,8,10,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-10-07
10/7/24 5:09,NA,NA,NA,NA,"Richard, Alex",NA,NA,NA,Watro (Watroso),NA,"Routine Program Evaluation,Project Update Visit",NA,1500,262,15,57,22,NA,40,11,NA,N/A,N/A,NA,NA,They don't have one,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, EPI has helped them get access to clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-10-07
10/7/24 6:28,NA,NA,NA,NA,"Richard, Peace",NA,NA,NA,Nwowom,NA,"Routine Program Evaluation,Project Update Visit",NA,NA,62,11,15,N/A,NA,N/A,NA,NA,NA,NA,1-2 km,NA,It works perfectly,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library","No, they need a classroom block or building for their library","Yes, EPI has helped build some","No, this school needs a borehole or other clean water solution","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,2024-10-07
10/9/24 2:04,NA,NA,NA,NA,"Richard, Alex",NA,NA,NA,Nwawasua MA,NA,"Routine Program Evaluation,Project Update Visit",NA,1500,550,30,131,42,NA,109,24,NA,N/A,N/A,NA,NA,"It has trouble spinning, need to be fixed",NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,1- This does not describe our school,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,"They have computers, but not from us.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-10-09
10/9/24 3:04,NA,NA,NA,NA,"Richard, Alex",NA,NA,NA,Kurasua #1 MA,NA,"Routine Program Evaluation,Project Update Visit",NA,500,240,11,52,21,NA,60,16,NA,N/A,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,Yes,Broken,16,23,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"No, this school needs a toilet","Yes, another organization or the government has given them something to provide clean water","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-10-09
10/15/24 2:31,NA,NA,NA,NA,"Richard, Alex",NA,NA,NA,Wurudu Wurudu,NA,"Routine Program Evaluation,Project Update Visit",NA,1200,175,11,52,12,NA,33,14,NA,N/A,N/A,NA,NA,They don't have one,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, EPI has helped build some","Yes, EPI has helped them get access to clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,Yes,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1 it not booting properly,06-06-2024,NA,Yes,Yes,NA,NA,2024-10-15
10/15/24 3:36,NA,NA,NA,NA,"Richard, Alex",NA,NA,NA,Fawotrikosie,NA,"Routine Program Evaluation,Project Update Visit",NA,600,135,7,41,11,NA,35,8,NA,N/A,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, EPI has helped them get access to clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,Yes,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,04-07-2024,NA,Yes,Yes,NA,NA,2024-10-15
11/4/24 4:42,NA,NA,NA,NA,"Richard, Isaac, Alex, Peace, National Service Personel",NA,NA,NA,Wenamda,NA,"Routine Program Evaluation,Project Update Visit",NA,760,369,20,117,25,NA,73,23,NA,21,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,Yes,Broken,6,14,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"No, this school needs a toilet","Yes, another organization or the government has given them something to provide clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-04
11/7/24 23:34,NA,NA,NA,NA,"Alex, Peace",NA,NA,NA,Mamakrom,NA,"Routine Program Evaluation,Project Update Visit",NA,1000,323,14,100,27,NA,62,14,NA,N/A,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Other,NA,Yes,Broken,12,16,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, another organization or the government has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,"They have computers, but they're from a different NGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-07
11/13/24 2:18,NA,NA,NA,NA,"Alex, Richard",NA,NA,NA,Wekpeti Abresu,NA,"Routine Program Evaluation,Project Update Visit",NA,600,267,13,51,18,NA,50,22,NA,20,20,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, EPI has helped build some","Yes, another organization or the government has given them something to provide clean water","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-13
11/13/24 7:17,NA,NA,NA,NA,"Alex, Richard",NA,NA,NA,Bepotumtum,NA,"Routine Program Evaluation,Project Update Visit",NA,1500,145,7,41,16,NA,36,5,NA,15,4,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"No, this school needs a toilet","Yes, EPI has helped them get access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-13
11/13/24 2:47,NA,NA,NA,NA,"Alex, Richard",NA,NA,NA,Ekorso Akwadum,NA,"Routine Program Evaluation,Project Update Visit",NA,1210,187,9,61,27,NA,66,20,NA,14,18,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-13
11/13/24 4:55,NA,NA,NA,NA,"Alex, Peace",NA,NA,NA,Abrenya,NA,"Routine Program Evaluation,Project Update Visit",NA,350,98,11,35,11,NA,33,10,NA,24,10,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,No,NA,11,11,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"No, this school needs a toilet","Yes, EPI has helped them get access to clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-13
11/20/24 7:15,NA,NA,NA,NA,"Richard, Isaac",NA,NA,NA,Nyariga Girls' School,NA,"Routine Program Evaluation,Project Update Visit",NA,600,450,10,200,55,NA,135,27,NA,N/A,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,Yes,Broken,3,10,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-20
11/14/24 2:18,NA,NA,NA,NA,"Alex, Richard",NA,NA,NA,Ntomem,NA,"Routine Program Evaluation,Project Update Visit",NA,NA,569,18,140,67,NA,158,44,NA,22,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,Yes,Broken,14,15,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","No, this school needs a borehole or other clean water solution","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-14
11/25/24 5:18,NA,NA,NA,NA,"Alex, Richard",NA,NA,NA,Zippo Nyuinyui,NA,"Routine Program Evaluation,Project Update Visit",NA,600,275,9,88,29,NA,66,5,NA,22,5,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,20,20,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, EPI has helped build some","Yes, another organization or the government has given them something to provide clean water","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-25
11/25/24 2:28,NA,NA,NA,NA,"Alex, Richard",NA,NA,NA,Ador Kope R/C Primary,NA,"Routine Program Evaluation,Project Update Visit",NA,600,186,6,49,15,NA,30,7,NA,11,7,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,20,20,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, EPI has helped build some","Yes, another organization or the government has given them something to provide clean water","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-25
11/20/24 7:45,NA,NA,NA,NA,Alex,NA,NA,NA,Ataampuutum A/B,NA,"Routine Program Evaluation,Project Update Visit",NA,700,271,9,101,33,NA,83,13,NA,N/A,13,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"No, this school needs a toilet","No, this school needs a borehole or other clean water solution","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-20
12/30/24 14:11,NA,NA,NA,NA,"Isaac,Richard,Alex,Peace",NA,NA,NA,Galalia,NA,"Routine Program Evaluation,Surveyor Team Visit,Project Update Visit",NA,2500,300,7,125,0,NA,0,0,NA,0,0,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,Eastern,Upper manya,NA,2501,"Routine Program Evaluation,Surveyor Team Visit,Project Update Visit",NA,NA,NA,1-2 times in a term,3- This describes our school a little bit,3- This describes our school a little bit,NA,-80.46428571,-110.3452381,-140.2261905,-170.1071429,-199.9880952,NA,-259.75,-289.6309524,1.175824176,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.008791209,0.8417582418,0.6747252747,NA,0.5076923077,0.1736263736,NA,NA,2024-12-30
12/30/24 14:29,NA,NA,NA,NA,"Isaac,Richard,Alex,Peace",NA,NA,NA,Kpala Government,NA,"Routine Program Evaluation,Surveyor Team Visit,Project Update Visit",NA,960,205,8,109,0,NA,0,0,NA,0,0,NA,NA,"The merry go round works well, but the charging station and solar panels have problems",NA,NA,NA,NA,No,NA,Eastern,Afram Plains,NA,961,"Routine Program Evaluation,Surveyor Team Visit,Project Update Visit",NA,NA,NA,1-2 times in a term,1- This does not describe our school,1- This does not describe our school,NA,-56.28571429,-77.73809524,-99.19047619,-120.6428571,-142.0952381,NA,-185,-206.452381,1.230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09010989,0.9494505495,0.8087912088,NA,0.6681318681,0.3868131868,NA,NA,2024-12-30
12/30/24 14:34,NA,NA,NA,NA,"Isaac,Richard,Alex,Peace",NA,NA,NA,Kpala Private,NA,"Routine Program Evaluation,Surveyor Team Visit,Project Update Visit",NA,NA,56,4,40,0,NA,0,0,NA,0,0,NA,NA,"The merry go round works well, but the charging station and solar panels have problems",NA,NA,NA,NA,No,NA,Eastern,Afram plains,NA,NA,"Routine Program Evaluation,Surveyor Team Visit,Project Update Visit",NA,NA,NA,They don't use them,1- This does not describe our school,1- This does not describe our school,NA,-16,-22.33333333,-28.66666667,-35,-41.33333333,NA,-54,-60.33333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5714285714,-1.142857143,-1.714285714,NA,-2.285714286,-3.428571429,NA,NA,2024-12-30
12/30/24 14:37,NA,NA,NA,NA,"Isaac,Richard,Alex,Peace",NA,NA,NA,Essam,NA,"Routine Program Evaluation,Surveyor Team Visit,Project Update Visit",NA,NA,45,4,0,0,NA,0,0,NA,0,0,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,Eastern,0da,NA,NA,"Routine Program Evaluation,Surveyor Team Visit,Project Update Visit",NA,NA,NA,They don't use them,1- This does not describe our school,1- This does not describe our school,NA,-11.82142857,-15.80952381,-19.79761905,-23.78571429,-27.77380952,NA,-35.75,-39.73809524,1.230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09010989,0.9494505495,0.8087912088,NA,0.6681318681,0.3868131868,NA,NA,2024-12-30
12/30/24 14:42,NA,NA,NA,NA,"Isaac,Richard,Alex,Peace",NA,NA,NA,Other:,NA,"Routine Program Evaluation,Surveyor Team Visit,Project Update Visit",NA,890,276,7,154,17,NA,34,12,NA,21,NA,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,Bono Region,Sekyere Kumawu,NA,891,"Routine Program Evaluation,Surveyor Team Visit,Project Update Visit",NA,NA,NA,1-2 times in a term,3- This describes our school a little bit,3- This describes our school a little bit,NA,-54.26666667,-93.58095238,-132.8952381,-172.2095238,-211.5238095,NA,NA,22,1.230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09010989,0.9494505495,0.8087912088,NA,0.6681318681,0.3868131868,NA,NA,2024-12-30
12/30/24 14:46,NA,NA,NA,NA,"Isaac,Richard,Alex,Peace",NA,NA,NA,Other:,NA,"Routine Program Evaluation,Surveyor Team Visit,Project Update Visit",NA,NA,243,8,124,32,NA,45,8,NA,23,8,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,Ashanti,Sekyere Kumawu,NA,NA,"Routine Program Evaluation,Surveyor Team Visit,Project Update Visit",NA,NA,NA,1-2 times in a term,1- This does not describe our school,1- This does not describe our school,NA,-39.07142857,-61.39285714,-83.71428571,-106.0357143,-128.3571429,NA,-173,-195.3214286,1.230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09010989,0.9494505495,0.8087912088,NA,0.6681318681,0.3868131868,NA,NA,2024-12-30
1/8/25 3:59,NA,NA,NA,NA,Alex,NA,NA,NA,Afransua Dedewa MA Primary,NA,"MGR Maintenance,Routine Program Evaluation",NA,800,270,16,68,15,NA,51,15,NA,16,12,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, EPI has helped them get access to clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-01-08
1/9/25 2:35,NA,NA,NA,NA,Alex,NA,NA,NA,Anamenampa,NA,"MGR Maintenance,Routine Program Evaluation",NA,600,161,14,41,8,NA,29,7,NA,26,6,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,20,20,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library","No, they need a classroom block or building for their library","Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-01-09
1/13/25 1:53,NA,NA,NA,NA,Alex,NA,NA,NA,Nyapienya,NA,"MGR Maintenance,Routine Program Evaluation",NA,600,180,10,53,10,NA,34,8,NA,22,8,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,14,14,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-01-13
